gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,deg_category
ENSG00000010292.12,7568.345933598693,3.999372016020824,NA,496.8001808064208,1.3926969782477102e-30,2.2854157413044924e-26,general_activation
ENSG00000138778.11,2655.152091068381,6.183482967810652,NA,471.85591426316,3.6226878040826734e-30,2.972415343249834e-26,general_activation
ENSG00000138160.5,2599.8536115931493,5.500377633027795,NA,357.11927757500945,6.218595551254695e-28,2.708785442352062e-24,general_activation
ENSG00000131747.14,9521.06046186421,8.00297768809234,NA,355.95677087909297,6.602767683978213e-28,2.708785442352062e-24,general_activation
ENSG00000117724.12,4828.80047131084,6.0589010483530785,NA,348.50132276765345,9.742311608129375e-28,3.1974266697880608e-24,general_activation
ENSG00000066279.17,3635.818865293493,7.9682412604949535,NA,327.0884233567677,3.118652852702959e-27,7.5421516488959e-24,general_activation
ENSG00000104738.17,9755.276598967286,1.5381476815329638,NA,326.5333571119379,3.2172493322529735e-27,7.5421516488959e-24,general_activation
ENSG00000198554.11,3103.024636113448,1.8545626977411762,NA,320.70151095130853,4.4756905842708465e-27,8.462915702371841e-24,general_activation
ENSG00000012048.21,3278.1727732359846,2.9760737716550176,NA,319.57279791158385,4.7741771577416716e-27,8.462915702371841e-24,general_activation
ENSG00000092853.13,1495.794680540973,3.469069619858421,NA,318.2287138951225,5.157169836911542e-27,8.462915702371841e-24,general_activation
ENSG00000163808.16,1543.650757885951,5.593111524865766,NA,315.06254418146693,6.192928259293448e-27,9.23872297590959e-24,general_activation
ENSG00000114346.13,1291.8181704000783,3.866073606777562,NA,312.11159528109886,7.356501232985073e-27,9.551036050153031e-24,general_activation
ENSG00000142731.10,1501.8282255021852,3.7374866573952774,NA,311.6321092626058,7.566329594880524e-27,9.551036050153031e-24,general_activation
ENSG00000156802.12,8756.910399783714,3.0485814595194927,NA,305.35172603894097,1.0978732064426688e-26,1.2868642369802997e-23,general_activation
ENSG00000140525.17,4647.8354676617655,3.941110155668437,NA,297.1780665182283,1.802179832354129e-26,1.971584736595417e-23,general_activation
ENSG00000136492.8,1103.4207254627788,3.165219702828687,NA,294.30802846524534,2.151422630796383e-26,2.2065528357105402e-23,general_activation
ENSG00000035499.12,708.3650331413323,5.459955728147298,NA,292.2483839128233,2.445545944167751e-26,2.265735851960249e-23,general_activation
ENSG00000092470.11,3419.698826036635,2.1343436725500657,NA,291.9903854739147,2.4852678449289752e-26,2.265735851960249e-23,general_activation
ENSG00000088325.15,3184.6553519937675,6.930565493219555,NA,289.7181930560742,2.865866167328154e-26,2.4752033582028953e-23,general_activation
ENSG00000137812.19,1981.5967671485246,5.2383365905941375,NA,282.6821996714185,4.4860909489310755e-26,3.5073023907252206e-23,general_activation
ENSG00000122952.16,1617.1183844656002,2.770261174967458,NA,282.67448730152677,4.488321158149277e-26,3.5073023907252206e-23,general_activation
ENSG00000171453.18,4174.632284040837,-2.4649588718413193,NA,279.0707815309897,5.669751086851962e-26,4.2291188788745766e-23,general_activation
ENSG00000133026.12,1064.666871495188,6.585937232612309,NA,271.1159576912842,9.595679616578422e-26,6.846308804697909e-23,general_activation
ENSG00000123360.11,662.6804430310268,3.7427984675922037,NA,270.08432254374907,1.0284382990263162e-25,7.031946869592437e-23,general_activation
ENSG00000108021.20,15886.768702491008,-1.841592953928579,NA,266.75139614765914,1.2888017418618597e-25,8.459694633581247e-23,general_activation
ENSG00000123374.10,2558.0321646737966,1.9245650511946586,NA,263.8212536498031,1.5751392133935228e-25,9.941551727610658e-23,general_activation
ENSG00000085840.12,1907.9173497658992,3.055922213940061,NA,261.8192841760179,1.8087678241879956e-25,1.0993288887009264e-22,general_activation
ENSG00000010610.9,8295.407310504535,2.4572370110513013,NA,261.1755216847086,1.8914298015428476e-25,1.1085129658327903e-22,general_activation
ENSG00000068489.12,867.9637202531463,8.25222297302011,NA,249.26317050455887,4.409346733691627e-25,2.4950820655130893e-22,general_activation
ENSG00000118193.11,948.7237161690545,8.435905608396416,NA,247.23429476176804,5.112577641681314e-25,2.7965799699996787e-22,general_activation
ENSG00000102384.13,550.6539573653224,4.277872515063699,NA,246.51846807111622,5.388075856377184e-25,2.810057945626321e-22,general_activation
ENSG00000144867.11,7600.464529354345,-2.544389169450836,NA,246.2889121333657,5.479698614262174e-25,2.810057945626321e-22,general_activation
ENSG00000122966.15,1353.6492766229048,5.259791529704667,NA,245.60788731495242,5.761293122311885e-25,2.8649339435496375e-22,general_activation
ENSG00000136108.14,2722.6695716139307,3.9020629968639926,NA,244.92889392453947,6.057249628142514e-25,2.9235137175829015e-22,general_activation
ENSG00000174197.16,22495.42528851615,-0.915241627806975,NA,244.2617978506708,6.363640059051001e-25,2.983638096257912e-22,general_activation
ENSG00000176208.8,2927.4228442923436,1.9393974062197248,NA,243.4411375751437,6.7630914581266015e-25,3.0828425229960426e-22,general_activation
ENSG00000184640.17,22479.4122730337,2.3733708565416376,NA,241.9530939629975,7.556189519387367e-25,3.351272162517478e-22,general_activation
ENSG00000123338.12,16531.910583299523,1.3625091585761562,NA,241.01166634117016,8.108035286764426e-25,3.501391027784322e-22,general_activation
ENSG00000072571.19,2232.7090873944917,6.834899818399929,NA,240.5708415020075,8.380870436274404e-25,3.5264124066477684e-22,general_activation
ENSG00000167325.14,9359.510324501392,2.0704320356527695,NA,236.50709237416734,1.1401983875245002e-24,4.677663884819262e-22,general_activation
ENSG00000051341.13,1357.278227048219,4.5901432279384675,NA,233.93248069219226,1.3893529240255114e-24,5.560800361770401e-22,general_activation
ENSG00000119969.14,4490.229263863802,1.790409137888494,NA,232.89057749302506,1.5059204336449562e-24,5.883846265741365e-22,general_activation
ENSG00000198945.7,2988.2348833681326,-2.7323248347810236,NA,229.69863375254042,1.93163334504632e-24,7.371651905165143e-22,general_activation
ENSG00000138346.14,1735.6924578912465,2.07656852625175,NA,227.9250188988469,2.22136310904828e-24,8.284674686245972e-22,general_activation
ENSG00000184445.11,8018.682055040276,2.141692661697494,NA,227.32295990544537,2.3298298887001668e-24,8.496112994126608e-22,general_activation
ENSG00000100297.15,7118.16372350303,0.8673423014204796,NA,225.57877616716712,2.6767035959779994e-24,9.548849132608473e-22,general_activation
ENSG00000175556.16,873.0740176298954,-2.358751046678639,NA,224.71956709567075,2.8671820469178816e-24,1.0010735614877115e-21,general_activation
ENSG00000076382.16,3211.7827582214286,3.971773279276509,NA,223.0908325226843,3.268483230079477e-24,1.1174127042834211e-21,general_activation
ENSG00000213762.11,2713.409580096674,-1.084678473810302,NA,222.1015706474056,3.5407283254788395e-24,1.185782690226689e-21,general_activation
ENSG00000080986.12,1702.539894450358,4.758518358113579,NA,221.45927833054338,3.7301861954745e-24,1.2242471093547308e-21,general_activation
ENSG00000153044.9,1409.6944354222944,2.273272532935174,NA,220.06430513080852,4.179374886947113e-24,1.34477533127063e-21,general_activation
ENSG00000123473.15,1340.3566691674264,2.89780640854457,NA,219.59212036624166,4.3440339802724946e-24,1.370876877235993e-21,general_activation
ENSG00000075702.17,481.69443320385335,3.3088135268018437,NA,218.06974826515065,4.923031364279857e-24,1.5242819752421216e-21,general_activation
ENSG00000214900.9,1655.3991859148564,3.4849313198830125,NA,216.59339087994192,5.562531544799501e-24,1.6903915305585152e-21,general_activation
ENSG00000169679.14,2772.060826661164,4.701245263541853,NA,214.0952537090674,6.851765296707856e-24,2.0178417747420934e-21,general_activation
ENSG00000185480.11,646.864295748301,3.3076818542471953,NA,214.03587066198233,6.88599264994255e-24,2.0178417747420934e-21,general_activation
ENSG00000125319.14,262.26806612621135,3.2422142172825925,NA,211.02300931003464,8.882036575683644e-24,2.5570915825783964e-21,general_activation
ENSG00000151725.11,1510.7366940116785,2.681572205135493,NA,209.44742704828957,1.0160525384433729e-23,2.8747279579061633e-21,general_activation
ENSG00000113810.15,9037.862754133108,2.3998454462774124,NA,209.19521139558967,1.0382541272884618e-23,2.8762691474988538e-21,general_activation
ENSG00000092036.18,1306.3876222224806,2.145658416743337,NA,209.04573593421787,1.0516523391220673e-23,2.8762691474988538e-21,general_activation
ENSG00000081181.7,582.2053446564526,4.708568965686637,NA,207.36584352320406,1.2153840731843566e-23,3.2695824001566047e-21,general_activation
ENSG00000136100.13,5012.685234918892,-1.5660124530682076,NA,206.9246240872107,1.2626938874170507e-23,3.3420655955667422e-21,general_activation
ENSG00000119523.9,2364.587320160251,-1.2332213847839915,NA,206.42519971644745,1.3185925025226964e-23,3.434619518475785e-21,general_activation
ENSG00000146918.19,3180.0909708428803,3.5254345823265365,NA,204.83907222640872,1.5140584203680242e-23,3.882140418474887e-21,general_activation
ENSG00000067533.5,3767.4509844598488,-2.97171364681649,NA,203.15395352495398,1.755504479206024e-23,4.431973615964746e-21,general_activation
ENSG00000104814.12,2706.2680993604563,1.6771845620523045,NA,202.80155188476832,1.8109377441523672e-23,4.459788535355297e-21,general_activation
